tranche,p_lot,cultivation batch,strain,determination,printed line,finding,detail
1,BG1024,BG1024,Blue Gelato,1,"Identification A, Appearance Идентиф. A, Изглед · Макроскопски",blank,no transcribed result on the desk for this line
1,BG1024,BG1024,Blue Gelato,2,Identification B Идентиф. Б · Микроскопски,blank,no transcribed result on the desk for this line
1,BG1024,BG1024,Blue Gelato,7,Foreign Matter Страни материи,blank,no transcribed result on the desk for this line
1,BSS1024,BSS1024,Blue Sunset Sherbet,1,"Identification A, Appearance Идентиф. A, Изглед · Макроскопски",blank,no transcribed result on the desk for this line
1,BSS1024,BSS1024,Blue Sunset Sherbet,2,Identification B Идентиф. Б · Микроскопски,blank,no transcribed result on the desk for this line
1,BSS1024,BSS1024,Blue Sunset Sherbet,7,Foreign Matter Страни материи,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,1,"Identification A, Appearance Идентиф. A, Изглед · Макроскопски",blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,2,Identification B Идентиф. Б · Микроскопски,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,7,Foreign Matter Страни материи,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,8,Loss on Drying Губиток при сушење,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,9.1,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · TAMC | Вкупен аеробен микробен број,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,9.2,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · TYMC | Вкупен број квасци/мувли,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,9.3,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Bile-tolerant gram-neg. | Жолчно-толерантни грам-нег.,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,9.4,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Salmonella | Салмонела,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,9.5,Microbiological Purity Микробиолошка Чистота · Ph. Eur. 2.6.12 / 2.6.13 / 2.6.31 cat. C · Escherichia coli | Ешерихија коли,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,11.1,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Lead (Pb) | Олово,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,11.2,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Cadmium (Cd) | Кадмиум,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,11.3,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Arsenic (As) | Арсен,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,11.4,Heavy Metals Тешки метали · Ph. Eur. 2.4.27 (ICP-MS) · Mercury (Hg) | Жива,blank,no transcribed result on the desk for this line
1,P060332,P060332,CashCow,12,Pesticide Residues Остатоци од пестициди,blank,no transcribed result on the desk for this line
1,P050162,CJ052501/01,Cap Junky,1,"Identification A, Appearance Идентиф. A, Изглед · Макроскопски",blank,no transcribed result on the desk for this line
1,P050162,CJ052501/01,Cap Junky,2,Identification B Идентиф. Б · Микроскопски,blank,no transcribed result on the desk for this line
1,P050162,CJ052501/01,Cap Junky,7,Foreign Matter Страни материи,blank,no transcribed result on the desk for this line
