Seq,CoQ number,CoQ type,Basis date,Issue date,Packaged lot,Cultivation batch,Strain,Grade,iCoA reference,№,Group,Parameter,Параметар,Method / reference,Acceptance criterion,Result,Source document,Document date,Issuing institution,Report series,Status,Performed by,Also on file
1,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,1,,"Identification A, Appearance · Macroscopic","Идентиф. A, Изглед, Макроскопски",Ph. Eur. mon. 3028,Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
2,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,2,,Identification B · Microscopic,Идентиф. Б · Микроскопски,Ph. Eur. 2.8.23 (microscopy),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Ident A + B,
3,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,3,,Identification C · HPLC/HPTLC,Идентиф. Ц · HPLC/HPTLC,Ph. Eur. 2.2.29 (3028),Conforms to the monograph for Cannabis flos (07/2024:3028) in Ph. Eur. 11.0 | Согласно монографија за Cannabis flos (07/2024:3028) во Ph. Eur. 11.0,Conforms | Соодветствува,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
4,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,4,,Assay — Total Δ⁹-THC,Анализа — вкупен Δ⁹-THC,Ph. Eur. 2.2.29 (HPLC),"21.60 – 26.39 %  (grade I, class THC 24, nominal 24.00 ± 2.40)",21.03,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,25.01 (197-2-К/26)
5,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,5,,Assay — Total CBD,Анализа — вкупен CBD,Ph. Eur. 2.2.29 (HPLC) · CBD + CBDA x 0.877,"≤ 1.0%, w/w",0.04,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,<LOQ (197-2-К/26)
6,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,6,,Total CBN,Вкупен CBN,Ph. Eur. 2.2.29 (HPLC) · CBN + CBNA x 0.876,"≤ 1.0%, w/w",—,—,,,,not tested — no certificate covers it,,<LOQ (197-2-К/26)
7,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,7,,Foreign Matter,Страни материи,Ph. Eur. 2.8.2 · In-house · интерна,"≤ 2.0% / 25–50 g · < 1 cm leaves | листови, no seeds | без семки",—,—,,,,to be performed — see route,Purely Plant laboratory — iCoA covering Foreign matter,
8,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,8,,Loss on Drying,Губиток при сушење,"Ph. Eur. 2.2.32 (3028) · at 40 °C, 24 h, 15–25 mbar",≤ 12.0%,5.99,ППК25051,26.02.2025,UKIM Faculty of Pharmacy — Center for Natural Products,UKIM CNP potency,covered,,
9,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.1,Microbiological Purity | Микробиолошка Чистота,TAMC,Вкупен аеробен микробен број,Ph. Eur. 2.6.12 cat. C,≤ 10⁵ CFU/g,1.5×10⁴,161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
10,CoQ-PP-2025-0001,initial release,04.03.2025,≥ 11.05.2026,BSS1024,BSS1024,Blue Sunset Sherbet,I,iCoA-PP-2025-0001,9.2,Microbiological Purity | Микробиолошка Чистота,TYMC,Вкупен број квасци/мувли,Ph. Eur. 2.6.12 cat. C,≤ 10⁴ CFU/g,2.2×10³,161/0269/25,24.02.2025,IPH — Institute of Public Health,IPH microbiology,covered,,
